date;revenue;cost;units_sold;profit;margin;revenue_per_unit;year;month;region_East;region_North;region_South;region_West;product_Product A;product_Product B;product_Product C;product_Product D
1/01/2022;11676.28;8294.08;252;33.822.000.000.000.000;0.2896641738635936;4.633.444.444.444.440;2022;1;False;True;False;False;True;False;False;False
1/01/2022;19338.47;10875.2;420;8463.27;0.43763906865434543;46.043.976.190.476.100;2022;1;False;True;False;False;False;True;False;False
1/01/2022;15357.31;7417.66;338;7939.65;0.5169948382887367;45.435.828.402.366.800;2022;1;False;True;False;False;False;False;True;False
1/01/2022;11775.49;10130.02;271;16.454.699.999.999.900;0.1397368602070911;434.519.926.199.262;2022;1;False;True;False;False;False;False;False;True
1/01/2022;19121.76;14368.0;480;4.753.759.999.999.990;0.24860473094526858;39.836.999.999.999.900;2022;1;False;False;True;False;True;False;False;False
1/01/2022;9604.3;7106.02;249;2.498.279.999.999.990;0.26012098747436035;38.571.485.943.775.000;2022;1;False;False;True;False;False;True;False;False
1/01/2022;10663.05;6416.0;280;4.247.049.999.999.990;0.39829598473232325;38.082.321.428.571.400;2022;1;False;False;True;False;False;False;True;False
1/01/2022;16641.41;14339.23;407;23.021.800.000.000.000;0.1383404411044497;4.088.798.525.798.520;2022;1;False;False;True;False;False;False;False;True
1/01/2022;17677.15;13240.98;443;4.436.170.000.000.000;0.2509550464865661;3.990.327.313.769.750;2022;1;True;False;False;False;True;False;False;False
1/01/2022;18102.2;11026.57;426;7.075.630.000.000.000;0.3908712753146027;4.249.342.723.004.690;2022;1;True;False;False;False;False;True;False;False
1/01/2022;19494.14;9919.53;463;9.574.609.999.999.990;0.491153238870758;42.103.974.082.073.400;2022;1;True;False;False;False;False;False;True;False
1/01/2022;15398.79;13595.62;385;1803.17;0.11709816160880172;39.996.857.142.857.100;2022;1;True;False;False;False;False;False;False;True
1/01/2022;9884.02;7361.28;208;25.227.400.000.000.000;0.2552342063249569;47.519.326.923.076.900;2022;1;False;False;False;True;True;False;False;False
1/01/2022;15959.83;8914.24;337;7045.59;0.44145770976257265;4.735.854.599.406.520;2022;1;False;False;False;True;False;True;False;False
1/01/2022;15605.83;7435.81;339;81.700.199.999.999.900;0.5235235806105795;46.034.896.755.162.200;2022;1;False;False;False;True;False;False;True;False
1/01/2022;9487.16;8300.0;200;11.871.599.999.999.900;0.1251333381117215;474.358;2022;1;False;False;False;True;False;False;False;True
