date,region,product,revenue,cost,units_sold,profit,margin,revenue_per_unit,year,month
2022-01-01,North,Product A,11676.28,8294.08,252,3382.2000000000007,0.2896641738635936,46.33444444444445,2022,1
2022-01-01,North,Product B,19338.47,10875.2,420,8463.27,0.43763906865434543,46.043976190476194,2022,1
2022-01-01,North,Product C,15357.31,7417.66,338,7939.65,0.5169948382887367,45.435828402366866,2022,1
2022-01-01,North,Product D,11775.49,10130.02,271,1645.4699999999993,0.1397368602070911,43.4519926199262,2022,1
2022-01-01,South,Product A,19121.76,14368.0,480,4753.759999999998,0.24860473094526858,39.836999999999996,2022,1
2022-01-01,South,Product B,9604.3,7106.02,249,2498.279999999999,0.26012098747436035,38.571485943775095,2022,1
2022-01-01,South,Product C,10663.05,6416.0,280,4247.049999999999,0.39829598473232325,38.082321428571426,2022,1
2022-01-01,South,Product D,16641.41,14339.23,407,2302.1800000000003,0.1383404411044497,40.88798525798526,2022,1
2022-01-01,East,Product A,17677.15,13240.98,443,4436.170000000002,0.2509550464865661,39.90327313769752,2022,1
2022-01-01,East,Product B,18102.2,11026.57,426,7075.630000000001,0.3908712753146027,42.49342723004695,2022,1
2022-01-01,East,Product C,19494.14,9919.53,463,9574.609999999999,0.491153238870758,42.103974082073435,2022,1
2022-01-01,East,Product D,15398.79,13595.62,385,1803.17,0.11709816160880172,39.996857142857145,2022,1
2022-01-01,West,Product A,9884.02,7361.28,208,2522.7400000000007,0.2552342063249569,47.519326923076925,2022,1
2022-01-01,West,Product B,15959.83,8914.24,337,7045.59,0.44145770976257265,47.35854599406528,2022,1
2022-01-01,West,Product C,15605.83,7435.81,339,8170.0199999999995,0.5235235806105795,46.034896755162244,2022,1
2022-01-01,West,Product D,9487.16,8300.0,200,1187.1599999999999,0.1251333381117215,47.4358,2022,1
2022-02-01,North,Product A,17848.44,11804.98,393,6043.459999999999,0.33859877950117767,45.415877862595416,2022,2
2022-02-01,North,Product B,13053.52,7711.2,280,5342.320000000001,0.4092627888875951,46.61971428571429,2022,2
2022-02-01,North,Product C,12358.93,6481.84,284,5877.09,0.4755338852149822,43.51735915492958,2022,2
2022-02-01,North,Product D,13527.86,11420.4,316,2107.460000000001,0.15578665066019318,42.8096835443038,2022,2
2022-02-01,South,Product A,9963.28,7988.88,238,1974.4000000000005,0.19816767169044736,41.86252100840336,2022,2
2022-02-01,South,Product B,15460.79,10161.86,391,5298.93,0.34273345669917255,39.54166240409207,2022,2
2022-02-01,South,Product C,19003.39,10635.38,495,8368.01,0.44034301248356217,38.39068686868687,2022,2
2022-02-01,South,Product D,19053.45,17324.03,489,1729.420000000002,0.09076676402436314,38.96411042944786,2022,2
2022-02-01,East,Product A,16538.35,12367.38,413,4170.969999999999,0.25219988692947,40.044430992736075,2022,2
2022-02-01,East,Product B,14747.57,9318.45,355,5429.119999999999,0.3681365811452327,41.54245070422535,2022,2
2022-02-01,East,Product C,8493.84,5186.02,199,3307.8199999999997,0.3894375217804903,42.682613065326635,2022,2
2022-02-01,East,Product D,6294.53,7184.02,151,-889.4900000000007,-0.14131158323179024,41.685629139072844,2022,2
2022-02-01,West,Product A,9789.51,7260.18,203,2529.33,0.25837146088006446,48.22418719211823,2022,2
2022-02-01,West,Product B,20999.39,11882.26,459,9117.13,0.43416165898152276,45.75030501089324,2022,2
2022-02-01,West,Product C,17527.49,7956.34,367,9571.150000000001,0.5460650669320023,47.75882833787466,2022,2
2022-02-01,West,Product D,17513.21,12494.02,351,5019.189999999999,0.28659451922291795,49.895185185185184,2022,2
2022-03-01,North,Product A,19283.52,12539.22,419,6744.300000000001,0.3497442375665854,46.02272076372315,2022,3
2022-03-01,North,Product B,18122.25,10875.2,420,7247.049999999999,0.3998979155458069,43.14821428571429,2022,3
2022-03-01,North,Product C,16414.13,7899.44,364,8514.690000000002,0.5187414745709947,45.09376373626374,2022,3
2022-03-01,North,Product D,14988.54,12119.02,339,2869.5200000000004,0.19144759929919794,44.21398230088496,2022,3
2022-03-01,South,Product A,14633.17,10832.98,357,3800.1900000000005,0.25969697611658993,40.989271708683475,2022,3
2022-03-01,South,Product B,8150.09,6254.47,202,1895.62,0.23258884257719853,40.3469801980198,2022,3
2022-03-01,South,Product C,14319.29,7937.34,366,6381.950000000001,0.4456889971499984,39.12374316939891,2022,3
2022-03-01,South,Product D,7445.17,8062.5,190,-617.3299999999999,-0.08291684407474913,39.185105263157894,2022,3
2022-03-01,East,Product A,18095.9,13450.0,450,4645.9000000000015,0.2567377140678276,40.21311111111111,2022,3
2022-03-01,East,Product B,19838.86,12338.37,476,7500.49,0.3780706149446087,41.67827731092437,2022,3
2022-03-01,East,Product C,11324.22,6383.26,278,4940.959999999999,0.43631790975449075,40.73460431654676,2022,3
2022-03-01,East,Product D,9184.89,8591.6,212,593.289999999999,0.06459413231949421,43.32495283018868,2022,3
2022-03-01,West,Product A,11273.32,7818.0,230,3455.3199999999997,0.30650420639172843,49.014434782608696,2022,3
2022-03-01,West,Product B,21246.77,11333.19,438,9913.58,0.46659233379944337,48.508607305936074,2022,3
2022-03-01,West,Product C,18515.56,8206.0,380,10309.560000000001,0.5568051951979849,48.725157894736846,2022,3
2022-03-01,West,Product D,8804.49,7761.23,177,1043.2600000000002,0.11849181497167925,49.742881355932205,2022,3
2022-04-01,North,Product A,21356.5,14274.58,477,7081.92,0.3316048978062885,44.772536687631025,2022,4
2022-04-01,North,Product B,7832.55,5916.23,182,1916.3200000000006,0.244661061850866,43.03598901098901,2022,4
2022-04-01,North,Product C,9329.01,5355.81,211,3973.2,0.4258972817051327,44.21331753554502,2022,4
